roll_no,gender,race_ethnicity,total_score,grade,academic_strength,lunch,test_preparation_course
std-02,male,group B,328.0,A,82.0,1.0,0.0
std-03,male,group C,264.0,B,66.0,1.0,0.0
std-09,male,group C,283.0,B,70.75,1.0,1.0
std-11,male,group C,266.0,B,66.5,1.0,
std-13,male,group A,293.0,B,,1.0,0.0
std-15,male,group A,289.0,B,,1.0,1.0
std-18,male,group B,,B,68.75,0.0,1.0
std-19,male,group C,280.0,B,,1.0,1.0
std-24,male,group B,282.0,B,70.5,,1.0
std-26,male,,307.0,B,76.75,1.0,1.0
std-27,,group C,250.0,B,62.5,1.0,0.0
std-31,male,group E,306.0,B,76.5,1.0,1.0
std-34,male,group A,280.0,B,70.0,1.0,1.0
std-36,male,group A,292.0,B,73.0,1.0,0.0
std-37,male,group C,283.0,B,70.75,1.0,0.0
std-38,,group C,256.0,B,64.0,1.0,1.0
std-39,male,group D,319.0,B,79.75,0.0,0.0
std-40,male,group D,316.0,B,79.0,1.0,0.0
std-41,male,group D,252.0,B,63.0,,0.0
std-42,male,group D,275.0,B,68.75,1.0,
std-44,male,group A,313.0,B,,0.0,0.0
std-45,male,group D,297.0,B,,1.0,0.0
std-47,male,group D,,B,65.25,0.0,0.0
std-49,male,group D,311.0,B,77.75,0.0,0.0
std-50,male,group E,253.0,B,63.25,0.0,0.0
std-51,male,group B,272.0,B,,1.0,0.0
std-52,male,group D,257.0,B,64.25,0.0,1.0
std-55,male,group B,298.0,B,74.5,0.0,
std-60,male,group D,284.0,B,71.0,1.0,0.0
std-61,male,group D,270.0,B,67.5,1.0,0.0
std-62,male,group B,313.0,B,78.25,1.0,0.0
std-63,male,group B,266.0,B,66.5,0.0,1.0
std-65,male,group B,319.0,B,79.75,1.0,1.0
std-66,male,group D,369.0,A,92.25,1.0,0.0
std-68,male,group C,288.0,B,72.0,1.0,1.0
std-69,male,group C,302.0,B,75.5,1.0,0.0
std-70,male,group C,268.0,B,67.0,1.0,0.0
std-72,male,group D,301.0,B,75.25,1.0,0.0
std-78,male,group D,285.0,B,71.25,0.0,0.0
std-81,male,group E,307.0,B,76.75,1.0,1.0
std-82,male,group E,304.0,B,76.0,0.0,1.0
std-86,male,group E,264.0,B,66.0,1.0,0.0
std-88,male,group B,285.0,B,71.25,1.0,0.0
std-90,male,group E,255.0,B,63.75,1.0,0.0
std-92,male,group C,256.0,B,64.0,1.0,0.0
std-93,male,group E,305.0,B,76.25,0.0,0.0
std-96,male,group E,287.0,B,71.75,0.0,0.0
std-97,male,group D,311.0,B,77.75,1.0,0.0
std-103,male,group B,327.0,A,81.75,0.0,0.0
std-104,male,group E,340.0,A,85.0,1.0,1.0
std-108,male,group A,273.0,B,68.25,1.0,1.0
std-110,male,group B,314.0,B,78.5,0.0,0.0
std-113,male,group C,321.0,A,80.25,1.0,1.0
std-115,male,group A,300.0,B,75.0,1.0,0.0
std-122,male,group C,335.0,A,83.75,1.0,0.0
std-123,male,group E,320.0,A,80.0,0.0,0.0
std-124,male,group C,307.0,B,76.75,1.0,0.0
std-125,male,group A,324.0,A,81.0,0.0,1.0
std-127,male,group C,317.0,B,79.25,1.0,1.0
std-128,male,group D,294.0,B,73.5,1.0,1.0
std-129,male,group E,282.0,B,70.5,0.0,1.0
std-131,male,group E,274.0,B,68.5,1.0,0.0
std-132,male,group B,328.0,A,82.0,0.0,0.0
std-133,male,group B,352.0,A,88.0,1.0,0.0
std-135,male,group B,281.0,B,70.25,1.0,1.0
std-136,male,group E,340.0,A,85.0,1.0,1.0
std-137,male,group D,252.0,B,63.0,1.0,0.0
std-138,male,group D,310.0,B,77.5,0.0,1.0
std-139,male,group D,265.0,B,66.25,1.0,0.0
