roll_no,gender,race_ethnicity,parental_level_of_education,lunch,test_preparation_course,math_score,reading_score,writing_score,science_score,total_score,grade,academic_strength,is_at_risk,performance_balance,socioeconomic_proxy,parental_education_level,gender_binary,high_achiever,science_strong,is_outlier
std-01,male,group D,some college,1.0,1.0,89.0,38.0,85.0,26.0,238.0,C,59.5,0,32.17141588429082,1.0,3.0,0,0,0,False
std-02,male,group B,high school,1.0,0.0,65.0,100.0,67.0,96.0,328.0,A,82.0,0,18.565200420859092,0.5,2.0,0,1,1,False
std-03,male,group C,master's degree,1.0,0.0,10.0,99.0,97.0,58.0,264.0,B,66.0,0,41.83300132670378,0.5,6.0,0,1,0,False
std-04,male,group D,some college,1.0,1.0,22.0,51.0,41.0,84.0,198.0,D,49.5,1,25.955089417427686,1.0,3.0,0,0,1,False
std-05,male,group C,some college,0.0,1.0,26.0,58.0,64.0,65.0,213.0,C,53.25,0,18.427786989579985,0.5,3.0,0,0,1,False
std-06,male,group B,high school,1.0,0.0,40.0,49.0,69.0,48.0,206.0,C,51.5,0,12.342339054382412,0.5,2.0,0,0,0,False
std-07,,group C,some college,0.0,0.0,34.0,48.0,84.0,73.0,239.0,C,59.75,0,22.838198994958717,0.0,3.0,0,0,1,False
std-08,male,group B,associate's degree,1.0,1.0,25.0,80.0,34.0,17.0,156.0,D,39.0,1,28.20165479778329,1.0,4.0,0,0,0,False
std-09,male,group C,,1.0,1.0,28.0,79.0,100.0,76.0,283.0,B,70.75,0,30.434355587066403,1.0,,0,1,1,False
std-10,male,group C,some high school,,0.0,71.0,22.0,85.0,39.0,217.0,C,54.25,0,28.860295678781025,,1.0,0,0,0,False
std-11,male,group C,high school,1.0,,55.0,64.0,87.0,60.0,266.0,B,66.5,0,14.153915830374764,,2.0,0,1,0,False
std-12,male,group E,associate's degree,1.0,0.0,,53.0,54.0,55.0,228.0,C,,0,1.0,0.5,4.0,0,0,0,False
std-13,male,group A,associate's degree,1.0,0.0,29.0,,76.0,91.0,293.0,B,,0,32.34707611722168,0.5,4.0,0,1,0,False
std-14,male,group E,high school,0.0,1.0,18.0,70.0,,45.0,162.0,D,,1,26.006409466386035,0.5,2.0,0,0,0,False
std-15,male,group A,associate's degree,1.0,1.0,72.0,97.0,52.0,,289.0,B,,0,22.546248764114473,1.0,4.0,0,1,0,False
std-16,male,group D,master's degree,0.0,0.0,23.0,96.0,34.0,54.0,,C,51.75,0,32.170120712653016,0.0,6.0,0,0,1,False
std-17,male,group E,some high school,0.0,0.0,35.0,70.0,87.0,91.0,283.0,,70.75,0,25.51306854666186,0.0,1.0,0,0,1,False
std-18,male,group B,some college,0.0,1.0,38.0,82.0,82.0,73.0,,B,68.75,0,20.93442141545832,0.5,3.0,0,1,1,False
std-19,male,group C,bachelor's degree,1.0,1.0,41.0,76.0,78.0,,280.0,B,,0,20.808652046684813,1.0,5.0,0,1,0,False
std-20,male,group B,some high school,1.0,1.0,22.0,73.0,,75.0,224.0,C,,0,30.038863715748857,1.0,1.0,0,0,0,False
std-21,male,group E,master's degree,1.0,1.0,44.0,,50.0,47.0,208.0,C,,0,3.0,1.0,6.0,0,0,0,False
std-22,male,group C,some high school,1.0,1.0,,68.0,62.0,54.0,195.0,D,,1,7.023769168568493,1.0,1.0,0,0,0,False
std-23,male,group B,bachelor's degree,1.0,1.0,39.0,71.0,49.0,78.0,237.0,C,59.25,0,18.300728582946274,1.0,5.0,0,0,1,False
std-24,male,group B,associate's degree,,1.0,85.0,97.0,43.0,57.0,282.0,B,70.5,0,24.839484696748443,,4.0,0,1,0,False
std-25,male,group A,,1.0,0.0,30.0,63.0,63.0,9.0,165.0,D,41.25,1,26.537709019431198,0.5,,0,0,0,True
std-26,male,,some college,1.0,1.0,100.0,38.0,74.0,95.0,307.0,B,76.75,0,28.182441342083905,1.0,3.0,0,1,1,False
std-27,,group C,some high school,1.0,0.0,61.0,64.0,81.0,44.0,250.0,B,62.5,0,15.154757228892407,0.5,1.0,0,1,0,False
std-28,male,group B,high school,0.0,0.0,47.0,49.0,98.0,46.0,240.0,C,60.0,0,25.36401650632907,0.0,2.0,0,0,0,False
std-29,male,group D,associate's degree,0.0,0.0,37.0,57.0,57.0,82.0,233.0,C,58.25,0,18.427786989579985,0.0,4.0,0,0,1,False
